"","營利事業家數及銷售額－第5次修訂",,單位：家、千元
"項目及地區別","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"93年 7月/ <b>總計</b>","170,478","195,394","77,644","137,915","86,998","133,309","23,710","17,795","23,024","59,697","21,250","25,446","17,918","35,818","10,946","17,528","5,403","16,822","20,598","15,474","10,184","891","110,509,563","138,261,965","31,595,682","29,881,339","20,711,047","60,260,997","1,621,206","14,121,645","3,963,857","9,578,220","5,070,854","14,299,107","3,899,716","3,311,818","488,050","776,053","212,783","2,308,458","44,034,042","1,106,005","401,354","37,056"
"93年 8月/ <b>總計</b>","171,442","196,223","77,960","138,265","87,694","134,002","23,767","17,905","23,104","59,839","21,312","25,482","17,959","35,904","10,975","17,606","5,404","16,826","20,664","15,550","10,184","895","614,356,403","1,738,515,618","410,975,920","385,394,719","286,482,791","503,664,533","31,137,530","109,812,296","77,910,155","143,971,963","28,838,758","128,674,755","30,818,215","38,724,272","7,980,973","23,513,065","3,445,945","27,823,256","171,868,226","28,807,297","4,128,943","574,206"
"93年 9月/ <b>總計</b>","172,365","196,382","78,394","138,619","88,162","134,441","23,897","17,996","23,162","59,943","21,325","25,495","17,976","36,059","10,980","17,671","5,409","16,860","20,705","15,600","10,169","892","120,086,754","137,421,142","43,054,959","30,066,523","20,299,344","51,690,815","1,516,290","15,320,988","3,449,168","10,319,307","5,173,733","14,955,153","4,585,634","3,312,762","461,139","721,252","246,701","3,138,608","36,799,465","1,052,573","407,786","39,305"
"93年 10月/ <b>總計</b>","173,125","195,010","78,728","139,153","88,587","135,172","24,048","18,086","23,241","60,116","21,293","25,509","18,049","36,181","11,043","17,700","5,428","16,894","20,767","15,680","10,168","895","643,653,027","1,875,282,206","429,036,160","397,306,189","294,268,850","515,851,432","31,462,159","108,786,503","79,211,650","146,212,854","29,340,233","142,923,117","31,090,200","39,286,455","7,663,205","23,093,912","2,968,605","27,054,214","180,653,357","29,213,569","3,917,312","634,875"
"93年 11月/ <b>總計</b>","173,805","195,235","79,193","139,544","88,954","135,770","24,002","18,146","23,279","60,288","21,343","25,552","18,084","36,066","11,109","17,744","5,445","16,924","20,809","15,685","10,204","895","120,505,199","126,851,925","35,615,071","30,439,700","20,846,512","50,828,336","1,793,820","14,860,382","3,549,350","10,249,060","5,076,233","14,982,236","4,143,978","3,522,052","507,631","771,606","260,915","2,902,997","36,998,774","1,112,122","433,155","38,118"
"93年 12月/ <b>總計</b>","174,600","195,325","79,516","140,103","89,212","136,330","23,995","18,214","23,310","60,610","21,361","25,565","18,115","36,103","11,130","17,775","5,448","16,918","20,814","15,683","10,142","898","693,710,177","2,291,348,952","457,169,640","431,153,092","300,416,223","565,477,230","33,269,739","108,469,470","79,304,945","153,423,151","31,883,787","144,780,052","30,789,371","41,200,899","8,898,813","25,270,336","3,459,434","28,409,021","169,374,839","30,624,598","5,406,842","783,149"
"94年/ <b>總計</b>","181,534","197,914","83,405","146,881","93,188","142,041","24,703","19,346","23,820","62,910","22,264","26,172","18,939","36,162","10,995","18,011","5,560","17,060","21,772","16,588","10,080","890","4,573,810,373","13,126,304,072","2,849,078,629","2,647,833,421","1,927,161,739","3,360,546,095","200,364,245","757,683,721","525,084,980","939,133,430","211,454,398","966,064,384","213,537,441","257,645,870","50,191,624","147,383,391","21,784,064","182,609,577","1,155,269,424","184,540,858","32,691,214","4,151,989"
"94年 1月/ <b>總計</b>","174,673","195,080","79,640","140,638","89,398","136,855","24,019","18,299","23,344","60,887","21,377","25,615","18,149","36,144","11,151","17,810","5,460","16,891","20,854","15,726","10,123","899","111,432,654","267,056,478","31,315,627","28,217,965","19,786,616","48,740,540","1,558,200","13,131,113","3,832,822","9,580,993","4,630,723","16,166,133","4,007,936","3,048,659","479,911","700,280","221,038","3,109,692","53,027,291","904,977","445,920","40,278"
"94年 2月/ <b>總計</b>","174,955","195,181","79,824","140,967","89,599","137,349","24,013","18,339","23,357","60,998","21,370","25,684","18,176","36,082","11,158","17,793","5,468","16,871","20,857","15,744","10,124","898","553,205,108","1,734,633,516","387,850,442","355,568,345","256,285,351","461,598,648","31,885,220","92,804,713","78,107,033","129,626,289","26,326,772","129,898,986","29,037,977","36,091,470","7,296,549","21,504,274","2,745,296","22,325,970","133,736,112","27,343,782","3,987,105","512,998"
"94年 3月/ <b>總計</b>","175,509","195,252","80,158","141,700","89,874","137,902","24,011","18,421","23,338","61,224","21,411","25,798","18,247","36,059","11,126","17,813","5,471","16,854","20,903","15,771","10,087","893","124,242,428","119,978,251","40,328,039","32,123,885","22,787,520","54,270,261","1,594,184","13,195,511","3,714,394","11,059,714","4,986,253","15,560,035","4,295,948","3,651,958","486,670","721,210","222,052","3,987,695","30,032,096","1,162,856","456,749","36,066"
